"Data"	"Gracz"	"Powód"	"Ilość"
"2025-11-30 23:37:32"	"JuriOwsienko69"	"Wpłata"	"10"
"2025-11-30 23:37:25"	"Go1on"	"Wpłata"	"10"
"2025-11-30 22:41:48"	"JuriOwsienko69"	"Wypłata"	"-10"
"2025-11-30 22:24:55"	"Smokq"	"Wypłata"	"-10"
"2025-11-30 22:22:20"	"Smokq"	"Wpłata"	"19"
"2025-11-30 19:02:59"	"Go1on"	"Wpłata"	"10"
"2025-11-30 18:17:29"	"Klaudiuszs"	"Wypłata"	"-10"
"2025-11-30 18:14:47"	"Klaudiuszs"	"Wpłata"	"10"
"2025-11-30 18:04:00"	"Smokq"	"Wypłata"	"-50"
"2025-11-30 17:49:52"	"Klaudiuszs"	"Wypłata"	"-10"
"2025-11-30 16:48:38"	"Smokq"	"Wypłata"	"-1"
"2025-11-30 15:55:03"	"Kacper17"	"Wypłata"	"-50"
"2025-11-30 15:24:33"	"Go1on"	"Wpłata"	"10"
"2025-11-30 14:46:36"	"Go1on"	"Wypłata"	"-10"
"2025-11-30 12:52:46"	"SaszaToJa"	"Wypłata"	"-10"
"2025-11-30 12:45:47"	"SaszaToJa"	"Wypłata"	"-10"
"2025-11-30 11:05:45"	"SaszaToJa"	"Wypłata"	"-10"
"2025-11-30 02:08:22"	"JuriOwsienko69"	"Wpłata"	"11"
"2025-11-30 02:06:02"	"Go1on"	"Wpłata"	"10"
"2025-11-30 00:40:10"	"Go1on"	"Wypłata"	"-10"
"2025-11-30 00:37:05"	"SzibaV2Sigma"	"Wypłata"	"-10"
"2025-11-29 23:58:35"	"SzibaV2Sigma"	"Wypłata"	"-10"
"2025-11-29 23:48:36"	"SzibaV2Sigma"	"Wypłata"	"-10"
"2025-11-29 23:24:58"	"JuriOwsienko69"	"Wypłata"	"-10"
"2025-11-29 23:05:08"	"Go1on"	"Wypłata"	"-10"
"2025-11-29 23:05:05"	"PanFausT"	"Wypłata"	"-10"
"2025-11-29 23:04:28"	"SzibaV2Sigma"	"Wypłata"	"-10"
"2025-11-29 22:59:49"	"SaszaToJa"	"Wypłata"	"-10"
