"Data"	"Gracz"	"Powód"	"Ilość"
"2025-11-21 21:42:13"	"PanFausT"	"Wpłata"	"7"
"2025-11-20 20:38:04"	"Smokq"	"Wypłata"	"-10"
"2025-11-20 20:38:00"	"SzibaV2Sigma"	"Wypłata"	"-10"
"2025-11-20 16:24:02"	"Smokq"	"Wpłata"	"16"
"2025-11-20 14:21:05"	"PanFausT"	"Wypłata"	"-3"
"2025-11-19 23:38:52"	"SzibaV2Sigma"	"Wypłata"	"-10"
"2025-11-19 23:35:55"	"SzibaV2Sigma"	"Wypłata"	"-10"
"2025-11-19 23:23:40"	"Go1on"	"Wpłata"	"17"
"2025-11-19 22:57:59"	"Go1on"	"Wypłata"	"-10"
"2025-11-19 18:38:31"	"Smokq"	"Wypłata"	"-10"
"2025-11-19 18:38:26"	"Karoll"	"Wypłata"	"-10"
"2025-11-19 17:45:45"	"Klaudiuszs"	"Wypłata"	"-10"
"2025-11-19 17:00:36"	"Karoll"	"Wypłata"	"-3"
"2025-11-19 16:04:00"	"Smokq"	"Wpłata"	"50"
"2025-11-18 20:56:59"	"Klaudiuszs"	"Wpłata"	"10"
"2025-11-18 20:55:07"	"Klaudiuszs"	"Wypłata"	"-10"
"2025-11-18 20:54:03"	"Smokq"	"Wypłata"	"-10"
"2025-11-18 20:34:20"	"Klaudiuszs"	"Wypłata"	"-10"
"2025-11-18 20:29:28"	"SzibaV2Sigma"	"Wypłata"	"-10"
"2025-11-18 20:23:34"	"Smokq"	"Wypłata"	"-10"
"2025-11-18 20:22:23"	"SzibaV2Sigma"	"Wypłata"	"-10"
"2025-11-18 19:46:12"	"SzibaV2Sigma"	"Wypłata"	"-10"
"2025-11-18 19:40:12"	"PanFausT"	"Wpłata"	"50"
"2025-11-18 19:38:51"	"Klaudiuszs"	"Wypłata"	"-10"
"2025-11-17 22:07:28"	"SzibaV2Sigma"	"Wypłata"	"-10"
"2025-11-17 22:06:24"	"SzibaV2Sigma"	"Wpłata"	"10"
"2025-11-17 22:06:15"	"SzibaV2Sigma"	"Wypłata"	"-10"
"2025-11-17 21:52:33"	"Klaudiuszs"	"Wypłata"	"-10"
"2025-11-17 21:39:19"	"SzibaV2Sigma"	"Wypłata"	"-10"
"2025-11-17 20:42:21"	"Smokq"	"Wpłata"	"10"
"2025-11-17 20:41:12"	"Smokq"	"Wypłata"	"-10"
"2025-11-17 20:30:38"	"Karoll"	"Wypłata"	"-10"
"2025-11-17 19:56:07"	"Karoll"	"Wypłata"	"-50"
"2025-11-17 19:56:02"	"Karoll"	"Wypłata"	"-10"
"2025-11-17 19:46:40"	"JuriOwsienko69"	"Wypłata"	"-10"
"2025-11-16 22:34:43"	"SaszaToJa"	"Wpłata"	"20"
"2025-11-16 22:02:03"	"INKA"	"Wypłata"	"-20"
"2025-11-16 22:01:32"	"SaszaToJa"	"Wypłata"	"-20"
