Podatek w przedmiotach: 26 276k
Podatek w gotówce: 4 779k
Suma wypłat w przedmiotach: 208 552k
Suma wypłat w gotówce: 37 035k
Suma zwrotów w przedmiotach: 26 061k
Suma zwrotów w gotówce: 4 618k
Nick            | Wypłata w gotówce | Zwrot podatku | Punkty Zwrotu Podatku | Wypłata w przedmiotach CTA - 1 | Wypłata w przedmiotach FORT STERLING - 1 | Wypłata w przedmiotach FORT STERLING - 2 | Wypłata w przedmiotach LYMHURST - 1 | Wypłata w przedmiotach OBÓZ SZKOLENIOWY - 1
Krampet         | 0k                | 163k          | 0.4                   | 0k                             | 452k                                     | 0k                                       | 1 960k                              | 0k                                         
Kruczysko       | 0k                | 511k          | 1.25                  | 0k                             | 0k                                       | 0k                                       | 1 960k                              | 0k                                         
Vircynger       | 0k                | 122k          | 0.30000000000000004   | 0k                             | 0k                                       | 594k                                     | 1 960k                              | 0k                                         
Senior          | 0k                | 122k          | 0.30000000000000004   | 0k                             | 0k                                       | 594k                                     | 1 960k                              | 0k                                         
PiroKiller      | 0k                | 225k          | 0.55                  | 0k                             | 0k                                       | 594k                                     | 1 960k                              | 0k                                         
GentelmanGarry  | 0k                | 368k          | 0.8999999999999999    | 0k                             | 0k                                       | 0k                                       | 1 960k                              | 0k                                         
Slepy081        | 0k                | 306k          | 0.75                  | 0k                             | 0k                                       | 0k                                       | 624k                                | 0k                                         
Sqbany1         | 0k                | 163k          | 0.4                   | 0k                             | 0k                                       | 0k                                       | 624k                                | 0k                                         
HeyImaJimmi     | 0k                | 81k           | 0.2                   | 0k                             | 0k                                       | 0k                                       | 624k                                | 0k                                         
Inka            | 0k                | 860k          | 2.1                   | 0k                             | 0k                                       | 594k                                     | 0k                                  | 0k                                         
KCAKakaKACYK    | 0k                | 183k          | 0.45                  | 0k                             | 0k                                       | 0k                                       | 0k                                  | 0k                                         
MalinowyMuffin  | 0k                | 40k           | 0.1                   | 0k                             | 0k                                       | 0k                                       | 0k                                  | 0k                                         
DRX460T         | 0k                | 81k           | 0.2                   | 0k                             | 0k                                       | 0k                                       | 0k                                  | 0k                                         
JuicyCat        | 0k                | 183k          | 0.45                  | 0k                             | 0k                                       | 0k                                       | 0k                                  | 0k                                         
Demon24         | 0k                | 101k          | 0.25                  | 0k                             | 0k                                       | 0k                                       | 0k                                  | 0k                                         
Jenny           | 0k                | 101k          | 0.25                  | 0k                             | 0k                                       | 0k                                       | 0k                                  | 0k                                         
